feature,importance_mean,importance_std
navy_bodyfat,1.913040212468495,0.14826122435269692
abdomen_to_height_ratio,1.6057245753303404,0.11105068834015534
abdomen,0.5388624128651995,0.05810290029208189
abdomen_to_chest_ratio,0.3651379534302564,0.04998407208197717
age,0.2649366528521139,0.042476807475253314
biceps_to_wrist_ratio,0.19453476383572513,0.03235198119677544
wrist_to_height_ratio,0.16056700818122363,0.02777177475792833
hip,0.11846096390138842,0.016866033173652775
knee,0.11497413454232369,0.021904318671382046
chest_to_height_ratio,0.11483890944057024,0.019251463407861262
thigh_to_hip_ratio,0.1090220360213486,0.01818023194367752
wrist,0.10550344171978171,0.022189970906502352
ankle_to_height_ratio,0.09381601569513782,0.019546186667076557
thigh_to_height_ratio,0.08768421463865425,0.012148824394915677
neck_to_height_ratio,0.08036752949946747,0.01182995317361172
hip_to_height_ratio,0.07899806876031162,0.014070623798952995
weight,0.07656528194114627,0.018970077336777413
thigh,0.07524519494601645,0.010685856842377975
neck,0.07140686558037199,0.011222632911611269
height,0.060814070499763166,0.015114290282293177
forearm_to_height_ratio,0.05855651404491793,0.008744797257963012
ankle,0.05062038361080091,0.009145040091166259
forearm,0.039345758062191004,0.0074790954685153635
biceps,0.037964149297229625,0.0058737357685039624
knee_to_height_ratio,0.03632313026952991,0.0059150986379340464
bmi,0.03513735016187021,0.005755445909366208
chest,0.03261061351135286,0.006403836823091418
biceps_to_height_ratio,0.02230485214758163,0.005501991608548389
sex_numeric,0.0,0.0
